Competition,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Batter ID,Bowler,Bowler ID,Runs,Extra Runs,Bowler Extra Runs,Extra,Penalty Runs,Runs Awarded To,Penalty,Ball Outcome,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Non-Striker ID,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,North Boundary,South Boundary,East Boundary,West Boundary,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour,Pitchside Fielder 1 X,Pitchside Fielder 1 Y,Pitchside Fielder 2 X,Pitchside Fielder 2 Y,Pitchside Fielder 3 X,Pitchside Fielder 3 Y,Pitchside Fielder 4 X,Pitchside Fielder 4 Y,Pitchside Fielder 5 X,Pitchside Fielder 5 Y,Pitchside Fielder 6 X,Pitchside Fielder 6 Y,Pitchside Fielder 7 X,Pitchside Fielder 7 Y,Pitchside Fielder 8 X,Pitchside Fielder 8 Y,Pitchside Fielder 9 X,Pitchside Fielder 9 Y
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,5,11,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,4,0,0,,,,,,Off,Short,Pull,Back Foot,,Middled,No Movement,,,,,,,273,321,-56.505102040816155,80.016616909621,In Air,,No,No,,,,,,,,,,,,,RHB,RM,20250529 14:20:52.803,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,6,1,3,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,5,No,2,2,4,1,1,2,1.20,3.27,0.00,0.00,8.813,-0.317,,,,,,,,,,,,,,,,,,,,,,,,8.813,-0.317,,,-0.49134871339840136,0.6957966687793131,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,6,12,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Off,Length,Off Side Drive,Front Foot,,Missed,Out Swinger,,,,,,,176,140,-74.56632653061229,61.016208746355716,Play and Miss,,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:20:52.873,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,6,1,3,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,6,No,2,3,4,1,1,2,3.27,3.00,0.00,0.00,6.010,-0.463,,,,,,,,,,,,,,,,,,,,,,,,6.010,-0.463,,,-0.6484028393966286,0.5305757282291801,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,1,13,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Leg,Length,Off Side Drive,Front Foot,,Hit Pad,No Movement,,,,,,,198,172,19.352040816326507,56.944692711370266,Play and Miss,,No,No,R Pindoria,"Ground Field ",Square Leg,,,,,,,,,,RHB,RM,20250529 14:21:59.567,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,6,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,1,No,2,3,1,1,2,1,3.00,2.77,0.00,0.00,6.066,-0.025,,,,,,,,,,,,,,,,,,,,,,,,6.066,-0.025,,,0.16827861579414355,0.49517124096843707,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,2,14,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Length,Forward Defence,Front Foot,,Middled,In Swinger,,,,,,,163,179,-18.576530612244824,32.515596501457765,,,No,No,SM Horley,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250529 14:22:13.737,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,6,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,2,No,2,4,1,1,2,1,2.77,2.57,0.00,0.00,5.679,-0.383,,,,,,,,,,,,,,,,,,,,,,,,5.679,-0.383,,,-0.1615350488021289,0.28274431740398054,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,3,15,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,1,1,Wide,,,,,Leg Wide,Full,No Shot,Front Foot,,Left,No Movement,,,,,,,174,135,95.2091836734694,39.30145655976679,,,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:22:35.563,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,7,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,No,3,No,2,4,1,1,2,1,2.57,3.00,0.00,0.00,3.292,0.534,,,,,,,,,,,,,,,,,,,,,,,,3.292,0.534,,,0.8279059449866905,0.3417517961718851,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,4,15,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,1,1,No Ball,,,,,Off Wide,Length,Slog,Front Foot,,Missed,No Movement,,,,,,,177,152,-98.04591836734699,62.373380758017504,,,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:23:05.613,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,8,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,No,3,No,2,5,1,1,2,1,3.00,3.43,0.00,0.00,6.176,-0.930,,,,,,,,,,,,,,,,,,,,,,,,6.176,-0.930,,,-0.8525732031943216,0.5423772239827609,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,5,15,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Length,Scoop,Moves Infront,,Missed,No Movement,,,,,,,174,137,-45.668367346938794,50.15883265306124,Free Hit,,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:23:29.003,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,8,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,3,Yes,2,6,1,1,2,1,3.43,3.20,0.00,0.00,5.459,-0.390,,,,,,,,,,,,,,,,,,,,,,,,5.459,-0.390,,,-0.39711623779946775,0.4361637622005325,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,6,16,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Length,On Side Drive,Front Foot,,Hit Pad,In Swinger,,,,,,,160,172,-11.352040816326507,70.51641282798832,"Appeal,Play and Miss",,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:23:53.563,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,8,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,4,No,2,7,1,1,2,1,3.20,3.00,0.00,0.00,5.514,-0.324,,,,,,,,,,,,,,,,,,,,,,,,5.514,-0.324,,,-0.0987133984028392,0.6131861985042463,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,7,17,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,4,0,0,,,,,,Off,Full Toss,On Side Drive,Front Foot,,Middled,In Swinger,,,,,,,215,343,-36.63775510204073,40.65862857142855,,,No,No,,,,,,,,,,,,,RHB,RM,20250529 14:24:52.66,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,12,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,5,No,2,8,5,1,2,1,3.00,4.24,0.00,0.00,0.543,-0.354,,,,,,,,,,,,,,,,,,,,,,,,0.543,-0.354,,,-0.31858917480035415,0.35355329192546564,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,3,8,18,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,1,0,0,,,,,,Leg,Full Toss,Flick,Down the Track,,Middled,In Swinger,,,,,,,337,169,44.637755102040956,23.015392419825133,,,No,No,KJ Wolfe,"Ground Field ",Deep Backward Square Leg,,,,,,,,,,RHB,RM,20250529 14:24:52.76,0,Middlesex Women,Bowl,Nursery,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,13,1,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,6,No,2,9,6,1,2,1,4.24,4.33,0.00,0.00,0.961,0.144,,,,,,,,,,,,,,,,,,,,,,,,0.961,0.144,,,0.3881543921916605,0.2001338471289142,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,4,1,19,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Line,Length,Forward Defence,Front Foot,,Middled,Out Swinger,,,,,,,186,181,-5.933673469387713,77.30227288629737,,,No,No,KJ Wolfe,"Ground Field ",Bowler,,,,,,,,,,RHB,RM,20250529 14:25:53.557,0,Middlesex Women,Bowl,Pavilion,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,13,1,1,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,1,No,2,10,6,1,2,1,4.33,4.11,0.00,0.00,6.176,-0.156,,,,,,,,,,,,,,,,,,,,,,,,6.176,-0.156,,,-0.05159716060337142,0.6721936772721511,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,4,2,20,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,1,1,Wide,,,,,Off Wide,Length,Cut,No Movement,,Missed,Out Swinger,,,,,,,179,146,-126.94387755102025,75.94510087463556,Play and Miss,,No,No,PN Sproul,"Ground Field ",Wicketkeeper,,,,,,,,,,RHB,RM,20250529 14:26:53.783,0,Middlesex Women,Bowl,Pavilion,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,14,1,1,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,No,2,No,2,10,6,1,2,1,4.11,4.42,0.00,0.00,6.397,-0.773,,,,,,,,,,,,,,,,,,,,,,,,6.397,-0.773,,,-1.1038598047914805,0.66039218151857,Kookaburra,White,,,,,,,,,,,,,,,,,,
